timestamp,sender_id,receiver_id,message_type,message_size,channel_number,user_priority,psid,sender_pos_x,sender_pos_y,sender_pos_z,sender_speed_x,sender_speed_y,sender_speed_z,sender_speed,sender_heading,receiver_pos_x,receiver_pos_y,receiver_pos_z,receiver_speed_x,receiver_speed_y,receiver_speed_z,receiver_speed,receiver_heading,distance,signal_strength,snr,sender_road_id,receiver_road_id,sender_lane_index,receiver_lane_index,message_data,message_serial,is_broadcast,is_beacon,is_accident,time_headway,relative_speed,same_lane,same_road
199.023376,2157371,244,BSM,42,178,7,-1,2155.287085,2084.733868,0.000000,-0.000000,-0.000000,0.000000,0.000000,-180.000000,2088.872347,2021.766551,0.000000,-9.553119,10.197966,0.000000,13.973568,133.130034,91.519400,-1.000000,-1.000000,,30405358#1,0,0,,0,1,1,0,-1.000000,13.973568,0,0
199.023377,2157371,280,BSM,42,178,7,-1,2155.287085,2084.733868,0.000000,-0.000000,-0.000000,0.000000,0.000000,-180.000000,2265.603491,2116.116865,0.000000,-13.865879,0.468332,0.000000,13.873786,178.065521,114.693512,-1.000000,-1.000000,,23339459,0,0,,0,1,1,0,-1.000000,13.873786,0,0
199.023377,2157371,238,BSM,42,178,7,-1,2155.287085,2084.733868,0.000000,-0.000000,-0.000000,0.000000,0.000000,-180.000000,2050.324980,1980.617194,0.000000,-9.494725,10.135629,0.000000,13.888153,133.130034,147.842232,-1.000000,-1.000000,,30405358#1,0,0,,0,1,1,0,-1.000000,13.888153,0,0
199.023377,2157371,286,BSM,42,178,7,-1,2155.287085,2084.733868,0.000000,-0.000000,-0.000000,0.000000,0.000000,-180.000000,2327.674693,2118.213373,0.000000,-13.984570,0.472341,0.000000,13.992544,178.065521,175.608555,-1.000000,-1.000000,,23339459,0,0,,0,1,1,0,-1.000000,13.992544,0,0
199.023377,2157371,232,BSM,42,178,7,-1,2155.287085,2084.733868,0.000000,-0.000000,-0.000000,0.000000,0.000000,-180.000000,2024.068284,1954.877958,0.000000,-10.034534,9.754560,0.000000,13.994403,135.810561,184.610214,-1.000000,-1.000000,,30405358#1,0,0,,0,1,1,0,-1.000000,13.994403,0,0
199.023377,2157371,226,BSM,42,178,7,-1,2155.287085,2084.733868,0.000000,-0.000000,-0.000000,0.000000,0.000000,-180.000000,1978.954666,1911.023059,0.000000,-9.970165,9.691987,0.000000,13.904632,135.810561,247.524883,-1.000000,-1.000000,,30405358#1,0,0,,0,1,1,0,-1.000000,13.904632,0,0
199.023377,2157371,292,BSM,42,178,7,-1,2155.287085,2084.733868,0.000000,-0.000000,-0.000000,0.000000,0.000000,-180.000000,2436.835335,2100.322726,0.000000,-2.591546,-13.735194,0.000000,13.977541,-100.684912,281.979484,-1.000000,-1.000000,,23339459,0,0,,0,1,1,0,-1.000000,13.977541,0,0
199.023377,2157371,298,BSM,42,178,7,-1,2155.287085,2084.733868,0.000000,-0.000000,-0.000000,0.000000,0.000000,-180.000000,2438.672547,2082.379255,0.000000,-0.876755,-13.660978,0.000000,13.689084,-93.672179,283.395243,-1.000000,-1.000000,,:411797709_0,0,0,,0,1,1,0,-1.000000,13.689084,0,0
199.023377,2157371,304,BSM,42,178,7,-1,2155.287085,2084.733868,0.000000,-0.000000,-0.000000,0.000000,0.000000,-180.000000,2439.877638,2064.445229,0.000000,-0.909344,-13.435301,0.000000,13.466039,-93.872054,285.312831,-1.000000,-1.000000,,-126606716,0,0,,0,1,1,0,-1.000000,13.466039,0,0
199.023377,2157371,310,BSM,42,178,7,-1,2155.287085,2084.733868,0.000000,-0.000000,-0.000000,0.000000,0.000000,-180.000000,2441.203307,2046.471811,0.000000,-1.063972,-13.279752,0.000000,13.322307,-94.580745,288.465026,-1.000000,-1.000000,,-126606716,0,0,,0,1,1,0,-1.000000,13.322307,0,0
199.023377,2157371,316,BSM,42,178,7,-1,2155.287085,2084.733868,0.000000,-0.000000,-0.000000,0.000000,0.000000,-180.000000,2442.695254,2027.850372,0.000000,-1.064007,-13.280184,0.000000,13.322740,-94.580745,292.983255,-1.000000,-1.000000,,-126606716,0,0,,0,1,1,0,-1.000000,13.322740,0,0
199.023378,2157371,70,BSM,42,178,7,-1,2155.287085,2084.733868,0.000000,-0.000000,-0.000000,0.000000,0.000000,-180.000000,1751.303007,1684.559622,0.000000,-9.964252,9.765092,0.000000,13.951463,135.578360,568.632186,-1.000000,-1.000000,,30405358#1,0,0,,0,1,1,0,-1.000000,13.951463,0,0
199.028844,2440754,304,BSM,42,178,7,-1,2438.672547,2082.379255,0.000000,-0.000000,0.000000,0.000000,0.000000,180.000000,2439.877638,2064.445229,0.000000,-0.909344,-13.435301,0.000000,13.466039,-93.872054,17.974469,-1.000000,-1.000000,,-126606716,0,0,,0,1,1,0,-1.000000,13.466039,0,0
199.028844,2440754,292,BSM,42,178,7,-1,2438.672547,2082.379255,0.000000,-0.000000,0.000000,0.000000,0.000000,180.000000,2436.835335,2100.322726,0.000000,-2.591546,-13.735194,0.000000,13.977541,-100.684912,18.037281,-1.000000,-1.000000,,23339459,0,0,,0,1,1,0,-1.000000,13.977541,0,0
